"NU_INSCRICAO","NU_IDADE","TP_SEXO","TP_COR_RACA","TP_ESCOLA","CO_UF_RESIDENCIA","SG_UF_PROVA","Q006","Q047","Q049","TP_PRESENCA_CN","TP_PRESENCA_CH","TP_PRESENCA_LC","TP_PRESENCA_MT","TP_STATUS_REDACAO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_FINAL_ENEM"
160000437692,24,"F",1,1,33,"RJ","P","D","A",1,1,1,1,1,744.1,741.1,663.6,991.5,700,3840.3
160000257582,17,"M",3,3,35,"SP","H","E","A",1,1,1,1,1,804.6,733.8,714.7,991.5,960,4204.6
160000384695,17,"M",1,3,23,"CE","F","D","A",1,1,1,1,1,733.3,722.1,676.6,991.5,800,3923.5
160000549395,19,"M",3,1,33,"RJ","O","D","A",1,1,1,1,1,788.3,758,732.9,991.5,920,4190.7
160001433068,17,"M",1,3,33,"RJ","N","C","A",1,1,1,1,1,802.6,704.9,691,991.5,680,3870
160001227818,17,"M",1,3,31,"MG","I","D","A",1,1,1,1,1,831.6,783.1,773.7,991.5,820,4199.9
160001776969,36,"M",1,1,33,"RJ","Q","A","A",1,1,1,1,1,735.4,731.9,700.9,991.5,900,4059.7
160002133296,19,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,711.2,707.5,685,991.5,700,3795.2
160000516662,17,"M",1,3,24,"RN","O","D","A",1,1,1,1,1,802.5,712.5,675.7,991.5,900,4082.2
160002340148,17,"M",1,3,25,"PB","Q","D","A",1,1,1,1,1,811.7,744.6,704.7,991.5,960,4212.5
160002377124,17,"F",1,3,31,"MG","P","D","A",1,1,1,1,1,861.4,776.3,659.8,991.5,880,4169
160000172519,19,"M",1,1,31,"MG","C","D","B",1,1,1,1,1,788.8,736.7,736.2,991.5,720,3973.2
160002228659,18,"M",3,2,32,"ES","I","A","A",1,1,1,1,1,768.3,745.8,641.6,991.5,940,4087.2
160002128788,17,"M",1,3,31,"MG","Q","D","A",1,1,1,1,1,726.7,712.1,677,991.5,780,3887.3
160002811954,17,"M",4,3,42,"SC","J","D","A",1,1,1,1,1,744.1,730.4,701,991.5,760,3927
160001286108,21,"M",1,1,35,"SP","H","D","A",1,1,1,1,1,743.3,723.6,675.2,991.5,880,4013.6
160001983942,26,"M",1,1,31,"MG","I","D","A",1,1,1,1,1,745.6,693.1,637.7,991.5,740,3807.9
160001848282,17,"M",1,3,35,"SP","K","E","A",1,1,1,1,1,841.5,722,693.4,991.5,820,4068.4
160003067237,17,"F",1,3,22,"PI","Q","D","C",1,1,1,1,1,787.2,727.2,728.7,991.5,900,4134.6
160002626932,20,"M",1,1,35,"SP","E","A","B",1,1,1,1,1,720.5,691,689.2,991.5,840,3932.2
160003341198,19,"M",1,1,53,"DF","P","D","A",1,1,1,1,1,708.2,731.5,695.7,991.5,660,3786.9
160003533978,16,"M",3,2,52,"GO","G","A","A",1,1,1,1,1,764.5,723.1,668,991.5,780,3927.1
160004097235,17,"M",1,3,41,"PR","Q","D","A",1,1,1,1,1,760.1,705,609.3,991.5,920,3985.9
160004631124,32,"M",1,1,13,"AM","P","E","A",1,1,1,1,1,664.8,687.6,678.1,991.5,640,3662
160004587353,25,"F",1,1,31,"MG","H","A","A",1,1,1,1,1,641.8,757.8,684,991.5,680,3755.1
160004807945,28,"M",3,1,35,"SP","O","A","A",1,1,1,1,1,777.5,643.3,647.7,991.5,720,3780
160005072683,18,"M",1,1,23,"CE","K","D","A",1,1,1,1,1,785.1,700.2,735.7,991.5,880,4092.5
160005510259,17,"M",1,3,41,"PR","Q","E","A",1,1,1,1,1,802.1,720.4,710.3,991.5,820,4044.3
160006754915,26,"M",1,1,32,"ES","N","B","B",1,1,1,1,1,712.2,826.7,697.3,991.5,900,4127.7
160001455364,51,"M",1,1,51,"MT","K","D","B",1,1,1,1,1,603.5,700,566.5,990.5,720,3580.5
160001509067,19,"M",3,1,35,"SP","C","A","A",1,1,1,1,1,755,670.2,677.2,990.5,680,3772.9
160001497103,18,"M",1,3,33,"RJ","H","D","A",1,1,1,1,1,714.8,641.3,624.9,990.5,560,3531.5
160001044917,22,"M",3,1,23,"CE","O","D","A",1,1,1,1,1,749.8,732,650.5,990.5,900,4022.8
160002212063,17,"M",1,3,35,"SP","Q","E","B",1,1,1,1,1,835,713.3,660.6,990.5,600,3799.4
160000178736,26,"M",3,1,31,"MG","B","A","B",1,1,1,1,1,871.3,820.9,675.3,990.5,860,4218
160002416795,17,"M",1,3,33,"RJ","K","B","A",1,1,1,1,1,724.8,682.1,731.1,990.5,760,3888.5
160002222546,17,"M",4,3,35,"SP","N","D","A",1,1,1,1,1,717.4,637.8,631.1,990.5,600,3576.8
160000823156,16,"M",1,1,35,"SP","O","E","A",1,1,1,1,1,751.5,733,675.9,990.5,760,3910.9
160000343296,18,"M",3,1,22,"PI","D","E","B",1,1,1,1,1,814.8,746.3,661.3,990.5,920,4132.9
160001709179,20,"F",1,1,52,"GO","I","D","A",1,1,1,1,1,762.3,786.2,693.1,990.5,580,3812.1
160002207682,30,"M",0,1,53,"DF","Q","D","A",1,1,1,1,1,684.4,693.9,658,990.5,820,3846.8
160002307125,28,"M",1,1,24,"RN","J","D","A",1,1,1,1,1,523.8,601.8,434,990.5,600,3150.1
160002253476,18,"M",3,2,24,"RN","E","A","A",1,1,1,1,1,764.8,743.8,709,990.5,940,4148.1
160003271118,17,"M",2,3,53,"DF","O","D","A",1,1,1,1,1,794.9,725.5,716.6,990.5,920,4147.5
160003758314,29,"M",1,1,52,"GO","J","D","A",1,1,1,1,1,737.1,698.2,655.8,990.5,760,3841.6
160005419876,17,"M",1,3,35,"SP","Q","D","A",1,1,1,1,1,819.8,674.2,721.6,990.5,760,3966.1
160006432845,18,"M",0,1,43,"RS","K","A","A",1,1,1,1,1,779.8,695.4,685.3,990.5,820,3971
160006955664,33,"M",3,1,26,"PE","Q","D","B",1,1,1,1,1,682.8,681,534.2,990.5,740,3628.5
160007201377,27,"F",3,1,25,"PB","P","E","A",1,1,1,1,1,741.6,649.4,650.1,990.5,820,3851.6
160007247376,18,"M",1,1,23,"GO","Q","D","A",1,1,1,1,1,750,654.4,576.3,990.5,680,3651.2
160007962000,24,"M",1,1,31,"MG","H","A","A",1,1,1,1,1,616.3,593.5,610.6,990.5,600,3410.9
160008113200,19,"M",1,1,23,"CE","J","E","A",1,1,1,1,1,741,662,669.9,990.5,560,3623.4
160002286176,18,"F",1,2,23,"CE","N","A","A",1,1,1,1,1,706.6,672.8,674,986.5,800,3839.9
160002766792,16,"M",1,1,35,"SP","F","E","A",1,1,1,1,1,740.1,720.3,641.9,986.5,800,3888.8
160003586519,19,"M",1,1,41,"PR","J","D","A",1,1,1,1,1,776.4,635.7,654.3,986.5,780,3832.9
160002588065,18,"F",1,3,31,"MG","Q","D","A",1,1,1,1,1,787,747.2,701.2,985.3,980,4200.7
160003944165,19,"M",3,1,53,"DF","Q","D","A",1,1,1,1,1,763.7,740,684.4,985.3,940,4113.4
160004961464,28,"M",1,1,31,"MG","O","D","A",1,1,1,1,1,742,668.5,639.7,985.3,820,3855.5
160005431914,39,"M",1,1,51,"MT","K","A","A",1,1,1,1,1,473.7,468.6,426.2,985.3,720,3073.8
160008507774,16,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,761.9,681.4,657.3,985.3,700,3785.9
160000987956,19,"M",1,1,33,"RJ","I","D","A",1,1,1,1,1,763.1,710,680.7,984.3,800,3938.1
160003413766,17,"M",4,3,35,"SP","N","D","A",1,1,1,1,1,813.4,724.7,635.2,984.3,720,3877.6
160002133513,18,"F",1,3,53,"DF","J","D","A",1,1,1,1,1,814.6,709.9,709.1,984.2,780,3997.8
160006812317,28,"M",1,1,25,"PB","J","D","A",1,1,1,1,1,632.9,618.4,617.7,984.2,620,3473.2
160001161907,17,"M",3,3,23,"CE","G","D","A",1,1,1,1,1,758.1,686,659.9,983.1,840,3927.1
160002409311,17,"M",3,3,22,"PI","P","D","A",1,1,1,1,1,787.3,752,715.9,983.1,1000,4238.3
160000331217,16,"M",1,3,35,"RS","P","D","A",1,1,1,1,1,771,656.7,667.9,983.1,820,3898.7
160002000865,17,"M",4,3,53,"DF","O","D","A",1,1,1,1,1,707.6,645.2,675.1,983.1,600,3611
160003380175,27,"M",3,1,22,"PI","G","D","A",1,1,1,1,1,816.9,730.3,680.2,983.1,920,4130.5
160003793644,19,"F",1,1,31,"MG","H","A","A",1,1,1,1,1,695.9,685.2,647.7,983.1,740,3751.9
160005983554,18,"M",1,1,35,"SP","Q","B","A",1,1,1,1,1,773.4,689.3,670,983,760,3875.7
160000574746,17,"M",1,3,23,"CE","N","D","A",1,1,1,1,1,717.6,685.4,715.8,982.5,820,3921.3
160007575243,18,"F",1,1,35,"SP","O","E","A",1,1,1,1,1,786.1,735.1,686.2,982.5,840,4029.9
160002586677,19,"M",1,1,31,"MG","N","D","A",1,1,1,1,1,807.3,790.4,705.1,982.3,900,4185.1
160004025648,28,"M",3,1,53,"DF","Q","D","A",1,1,1,1,1,781.2,735.1,662.1,982.3,820,3980.7
160004869502,29,"M",3,1,32,"ES","Q","D","A",1,1,1,1,1,692.8,701,710.5,981.9,620,3706.2
160007329274,27,"M",1,1,23,"CE","J","E","A",1,1,1,1,1,658.8,689.5,630.4,981.9,680,3640.6
160002123951,17,"M",3,3,21,"MA","P","D","A",1,1,1,1,1,836.6,859.1,684.9,981.6,900,4262.2
160006474353,37,"M",0,1,23,"CE","O","E","A",1,1,1,1,1,662.3,675.9,561.9,981.4,740,3621.5
160006988481,20,"F",1,1,53,"DF","O","D","A",1,1,1,1,1,683.4,728,684.4,981.2,820,3897
160000080063,23,"M",1,1,35,"SP","G","D","A",1,1,1,1,1,756.1,690.3,658,980.7,740,3825.1
160001277468,25,"F",1,1,32,"ES","Q","D","A",1,1,1,1,1,812.2,745.1,658.9,980.4,940,4136.6
160001675518,17,"M",3,3,26,"PE","P","D","A",1,1,1,1,1,706.9,635.8,670,980.4,720,3713.1
160001467828,19,"M",1,1,42,"SC","P","A","A",1,1,1,1,1,721.9,718.9,660.4,980.4,760,3841.6
160002338256,19,"F",1,1,35,"SP","O","D","A",1,1,1,1,1,847.5,783.8,687.2,980.4,840,4138.9
160002379239,18,"M",1,3,31,"MG","Q","D","A",1,1,1,1,1,786.3,767.2,727.1,980.4,920,4181
160002361526,17,"M",1,3,35,"SP","O","E","A",1,1,1,1,1,683.7,698.8,689.8,980.4,880,3932.7
160000613490,16,"F",3,3,15,"PA","F","E","A",1,1,1,1,1,782.8,766,685,980.4,960,4174.2
160000277863,19,"M",1,1,23,"CE","Q","D","A",1,1,1,1,1,753.4,691.6,672.8,980.4,820,3918.2
160002862837,18,"F",1,2,32,"ES","Q","A","A",1,1,1,1,1,674.5,662.2,614.2,980.4,880,3811.3
160003110643,17,"M",1,3,26,"PE","P","E","A",1,1,1,1,1,812.3,735.9,680.4,980.4,840,4049
160002762316,21,"M",1,1,31,"MG","P","D","A",1,1,1,1,1,782.8,788.8,655.7,980.4,840,4047.7
160003026229,18,"F",1,3,28,"SE","K","E","A",1,1,1,1,1,720,718.5,661.4,980.4,920,4000.3
160004057460,16,"M",1,1,27,"AL","D","A","A",1,1,1,1,1,617.2,626.9,621,980.4,640,3485.5
160005419934,16,"M",1,3,51,"MT","O","D","A",1,1,1,1,1,746.8,673.7,667.9,980.4,780,3848.8
160006778482,29,"F",3,1,52,"GO","M","E","A",1,1,1,1,1,604.8,683.9,384.8,980.4,740,3393.9
160008374019,31,"M",3,1,29,"BA","P","A","A",1,1,1,1,1,697.5,720.4,679.7,980.4,860,3938
160001981494,21,"M",3,1,23,"PB","D","A","A",1,1,1,1,1,771.7,711.3,636.2,980.1,740,3839.3
160001769285,22,"M",3,1,35,"SP","A","D","A",1,1,1,1,1,775.1,711.6,688.5,980.1,700,3855.3
160002896929,33,"M",1,1,32,"ES","H","B","B",1,1,1,1,1,733.4,626.9,636.7,980.1,620,3597.1
160001019457,16,"M",1,1,35,"SP","G","D","A",1,1,1,1,1,774.5,714.9,685,979.7,740,3894.1
160003934765,27,"M",1,1,26,"PE","J","B","A",1,1,1,1,1,590.2,655.8,675.3,979.4,580,3480.7
160001430746,17,"M",1,3,35,"SP","J","D","A",1,1,1,1,1,808.8,702.6,698.1,979,700,3888.5
160000035864,20,"M",1,1,35,"SP","H","D","A",1,1,1,1,1,748.6,732.7,676.3,979,740,3876.6
160002680867,16,"M",1,1,35,"SP","O","E","A",1,1,1,1,1,756.9,694.9,661.3,979,780,3872.1
160002003194,17,"M",1,3,52,"GO","P","D","A",1,1,1,1,1,849.6,716.2,718.4,979,820,4083.2
160005182894,19,"M",1,1,23,"CE","B","E","A",1,1,1,1,1,770.9,700.6,604.1,979,780,3834.6
160002781967,21,"M",1,1,33,"RJ","C","A","B",1,1,1,1,1,718.7,649.1,654.4,978.9,820,3821.1
160000676914,17,"M",1,3,53,"DF","Q","D","A",1,1,1,1,1,691.2,651.4,637.2,978.9,800,3758.7
160002144461,17,"M",1,3,33,"RJ","Q","D","A",1,1,1,1,1,652.8,635.5,660.6,978.9,900,3827.8
160004221093,31,"M",3,1,22,"PI","Q","D","A",1,1,1,1,1,730.4,749.9,686.7,978.9,860,4005.9
160005729124,16,"M",1,1,33,"RJ","Q","E","A",1,1,1,1,1,753.1,705.4,673.7,978.9,920,4031.1
160008480997,31,"M",1,1,31,"MG","N","A","A",1,1,1,1,1,685.3,627,657,978.9,480,3428.2
160000181007,44,"M",4,1,53,"DF","Q","D","A",1,1,1,1,1,647.7,704.8,621.6,978.4,660,3612.5
160000001654,19,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,796,692.3,699,978.4,720,3885.7
160000601096,18,"M",1,1,52,"GO","N","D","A",1,1,1,1,1,747.6,758.1,679.9,978.4,920,4084
160003556425,19,"M",1,1,35,"SP","Q","D","A",1,1,1,1,1,765.7,744,689,978.4,900,4077.1
160001770737,30,"M",1,1,35,"SP","J","D","A",1,1,1,1,1,590.7,651.5,621.6,978.2,440,3282
160000646331,19,"F",1,1,35,"SP","Q","D","A",1,1,1,1,1,793.1,759.4,710.5,978.2,940,4181.2
160002542102,18,"M",1,2,33,"RJ","N","A","A",1,1,1,1,1,722.3,699.1,653,978.2,800,3852.6
160002712696,18,"F",4,1,35,"SP","Q","D","A",1,1,1,1,1,720.3,692.5,633,978.2,860,3884
160002716418,18,"M",1,3,31,"MG","O","D","A",1,1,1,1,1,812.2,817.7,711.8,978.2,900,4219.9
160006873767,21,"M",1,1,53,"DF","N","A","A",1,1,1,1,1,797,640,648.5,978.2,840,3903.7
160007134790,32,"M",3,1,23,"CE","N","D","A",1,1,1,1,1,741.2,681.5,622.8,978.2,540,3563.7
160002331072,19,"M",1,1,23,"CE","K","D","A",1,1,1,1,1,861.4,703.8,652.4,977.6,840,4035.2
160001713137,16,"M",3,3,35,"PA","H","E","A",1,1,1,1,1,771.2,673.7,649.3,977.6,780,3851.8
160003492027,19,"M",1,1,26,"PE","F","A","A",1,1,1,1,1,742.3,711.2,656,977.6,880,3967.1
160004174960,17,"M",1,3,32,"ES","P","E","A",1,1,1,1,1,784.5,794.3,736.2,977.6,920,4212.6
